Group,Part Number,Known As,Description,Reco,Hold,Quar,RECOLEICS,HoldLeics,QuarLeics,Thorn,ExtLeics,MTS,Ryr,May,Apr,Mar,Feb,Jan,Dec,Nov,Oct,Sep,Aug,Jul,Jun,Min,Max,Range
WSCONS,M6 X 17 - DIN 7349 WASHER,M6 X 17 - DIN 7349 WASHER,M6 X 17 - DIN 7349 WASHER Black Nickel,50250,0,0,7000,0,0,0,0,0,95750,2250,0,7000,9500,8500,0,19500,7000,5000,7000,23000,7000,10000,20000,
WSCONS,M6 10 HH88SC SF DIN933,BOLT M6 X 10,BOLT M6 X 10,50500,0,0,6000,0,0,0,0,0,66000,0,24000,6000,0,5000,0,7000,0,6000,11000,5000,2000,10000,50000,
WSCONS,M612HH88SCSFDIN933,M6 x 12 Hex Hd Set Screw,M6 x 12 Hex Hd Set Screw,7000,0,0,2000,0,0,0,0,0,46000,2000,-3000,2000,2000,10000,5000,5000,5000,5000,2000,5500,5500,5000,10000,
WSCONS,M5 8 FZ88SC TC1 1102015610,BOLT M5 X 8,BOLT M5 X 8,53000,0,0,6000,0,0,0,0,0,46000,1000,0,1000,5000,6000,0,6000,0,10000,5000,1000,11000,10000,45000,
PACK,HCP297.2,5MLSYRINGE,HCE 5ml Emerald Hyperdermic Syringe Individual,22500,0,0,11200,0,0,0,0,0,31600,0,5000,0,0,2500,0,2500,2500,2200,1300,14500,1100,2000,6000,
PACK,556550,SMALL OUTER,Cepac (300947) Small Outer 388x283x278,2625,0,0,500,0,0,450,0,0,22785,450,1125,1225,950,1525,2100,1650,2025,3335,2800,3200,2400,6000,12000,
ACTPART,1100-030-395,1100-030-395,ACT Clip T3,0,0,0,0,0,0,0,0,0,15200,0,200,0,1000,2000,0,0,3000,0,0,9000,0,25,50,
PACK,556495,SMALL TE,Cepac (300946) Small TE 340x260x260,0,0,0,0,0,0,0,0,0,15099,0,445,985,1450,1000,800,1940,2222,1132,1540,1640,1945,6000,12000,
WSCONS,M6 X 16 HH88SCSET SCREW BLK NICKEL,M6 X 16 HH88SCSET SCREW B,M6 X 16 HH88SC SET SCREW BLK NICKEL actuator bolts,1000,0,0,0,0,0,0,0,0,14000,0,0,2000,0,3000,2000,1000,0,1000,0,5000,0,2000,5000,
KIT,1102-015-630,1102-015-630,Bolt (VNT Nozzle Ring M4x20),0,0,0,0,0,0,0,0,0,13800,0,0,0,0,10800,0,0,3000,0,0,0,0,0,1,
WSCONS,M6 - HFST - TC1 DIN934,M6 Full Nut,M6 Full Nut Carriage bolt,4000,0,0,3500,0,0,0,0,0,12900,500,0,0,0,0,0,12400,0,0,0,0,0,500,1000,
PACK,30 12X18 200G NAT POLYBAGS (1000),30 12X18 200G NAT POLYBAG,30% 12X18 200G NAT POLYBAGS (1000) Individual,3000,0,0,2500,0,0,0,0,0,12800,500,500,0,500,0,0,1000,2900,3400,2750,1000,250,1000,5000,
PACK,30 15X20 200G NAT POLYBAGS (1000),30 15X20 200G NAT POLYBAG,30% 15X20 200G NAT POLYBAGS Individuals,8650,0,0,4500,0,0,0,0,0,11800,0,100,0,2500,500,850,350,-2700,4050,4250,1900,0,1000,5000,
PACK,30 6X8 200G NAT POLYBAGS (1000),30 6 x 200G NAT POLYBAGS,30% 7x9 200G NAT POLYBAGS (1000) Individual,3000,0,0,5000,0,0,0,0,0,11700,0,2000,1000,0,2000,0,0,2000,1800,0,0,2900,1000,5000,
WSCONS,M6-SFST-TC1 1102015610,M6 serrated flange nut,M6 serrated flange nut,4500,0,0,2000,0,0,0,0,0,10500,500,0,0,2000,1000,2000,1000,2000,0,0,2000,0,2500,10000,
KIT,1102-015-610,1102-015-610,Bolt (Flanged) GT15-25 Comp Cover,5000,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,
PACK,30 18X24 200G NAT POLYBAGS (1000),30 18x24 200g NAT POLYBAG,30% 18x24 200g NAT POLYBAGS (1000) Individual,1650,0,0,1800,0,0,200,0,0,9450,300,700,350,1500,1100,900,850,1000,1750,0,1000,0,1000,5000,
WSCONS,AH37N,AH37N,Cable Tie NATURAL 370/7.6mm,1000,0,0,500,500,0,0,0,0,9000,0,800,1000,1000,400,500,1000,800,800,1000,1000,700,200,2000,
WSCONS,AN30N,AN30N,Cable Tie NATURAL (4.8mm wide) individuals,1400,0,0,1000,0,0,0,0,0,8900,0,600,1100,700,100,600,1100,1000,1000,1200,1000,500,300,4500,
ACTPART,1102-015-395,1102-015-395,ACT Clip GT/VNT15-25,0,0,0,0,0,0,0,0,0,8000,0,1500,0,0,1000,0,0,3000,500,0,2000,0,50,200,
